model,area,obstacles,objective,runtime,gap,,model,area,obstacles,objective,runtime,n_lazy,gap,,model,area,obstacles,objective,runtime,n_lazy,gap,,model,area,obstacles,objective,runtime,gap
R1P,225,0,12,0.03,0,,R1L,225,0,12,0.04,0,0,,R2L,225,0,9,0.07,20,0,,R2P,225,0,10,0.22,0
R1P,225,5,,,,,R1L,225,5,0,0.03,0,0,,R2L,225,20,,,,,,R2P,225,20,0,0.02,0
R1P,400,0,16,0.12,0,,R1L,400,0,18,0.07,40,0,,R2L,400,0,16,0.70,276,0,,R2P,400,0,16,21.20,0
R1P,400,5,4,0.10,0,,R1L,400,5,6,0.11,18,0,,R2L,400,5,2,0.14,34,0,,R2P,400,5,4,0.08,0
R1P,625,0,28,1.03,0,,R1L,625,0,28,0.32,321,0,,R2L,625,0,28,27.63,1413,0,,R2P,625,0,28,799.15,0
R1P,625,5,16,0.06,0,,R1L,625,5,16,0.15,100,0,,R2L,625,5,16,0.97,324,0,,R2P,625,5,16,0.72,0
R1P,900,0,42,4.44,0.00,,R1L,900,0,44,0.27,486,0.00,,R2L,900,0,44,266.97,1951,0.00,,R2P,900,0,44,1800.04,0.11
R1P,900,5,32,0.17,0.00,,R1L,900,5,32,0.21,323,0.00,,R2L,900,20,32,7.56,2215,0.00,,R2P,900,20,32,16.97,0.00
R1P,1225,0,58,364.28,0.00,,R1L,1225,0,58,76.73,4374,0.00,,R2L,1225,0,36,1800.10,14372,0.83,,R2P,1225,0,56,1800.03,0.27
R1P,1225,5,46,12.25,0.00,,R1L,1225,5,48,4.05,2371,0.00,,R2L,1225,5,39,1801.07,23743,0.38,,R2P,1225,5,46,1800.04,0.17
R1P,2025,0,102,1800.02,0.06,,R1L,2025,0,102,1800.04,12365,0.02,,R2L,2025,0,61,1800.07,11542,0.95,,R2P,2025,0,96,1800.05,0.34
R1P,2025,5,86,1800.03,0.09,,R1L,2025,5,88,1800.07,19199,0.05,,R2L,2025,20,45,1800.09,12072,1.31,,R2P,2025,20,84,1800.05,0.35
